date,region,product,category,units_sold,unit_price,revenue
2024-01-01,North,Nike Air Max,Footwear,173,149.99,25948.27
2024-01-01,North,Adidas Ultraboost,Footwear,38,189.99,7219.62
2024-01-01,North,Puma RS-X,Footwear,16,109.99,1759.84
2024-01-01,North,Reebok Classic,Footwear,199,89.99,17908.01
2024-01-01,North,New Balance 990,Footwear,80,174.99,13999.2
2024-01-01,North,Levis 501,Apparel,72,69.99,5039.28
2024-01-01,North,Zara Blazer,Apparel,67,129.99,8709.33
2024-01-01,North,HM Joggers,Apparel,45,39.99,1799.55
2024-01-01,North,Uniqlo Hoodie,Apparel,198,59.99,11878.02
2024-01-01,North,Gap Chinos,Apparel,36,79.99,2879.64
2024-01-01,South,Nike Air Max,Footwear,183,149.99,27448.17
2024-01-01,South,Adidas Ultraboost,Footwear,199,189.99,37808.01
2024-01-01,South,Puma RS-X,Footwear,149,109.99,16388.51
2024-01-01,South,Reebok Classic,Footwear,32,89.99,2879.68
2024-01-01,South,New Balance 990,Footwear,161,174.99,28173.39
2024-01-01,South,Levis 501,Apparel,118,69.99,8258.82
2024-01-01,South,Zara Blazer,Apparel,18,129.99,2339.82
2024-01-01,South,HM Joggers,Apparel,17,39.99,679.83
2024-01-01,South,Uniqlo Hoodie,Apparel,33,59.99,1979.67
2024-01-01,South,Gap Chinos,Apparel,65,79.99,5199.35
2024-01-01,East,Nike Air Max,Footwear,69,149.99,10349.31
2024-01-01,East,Adidas Ultraboost,Footwear,139,189.99,26408.61
2024-01-01,East,Puma RS-X,Footwear,164,109.99,18038.36
2024-01-01,East,Reebok Classic,Footwear,16,89.99,1439.84
2024-01-01,East,New Balance 990,Footwear,153,174.99,26773.47
2024-01-01,East,Levis 501,Apparel,60,69.99,4199.4
2024-01-01,East,Zara Blazer,Apparel,193,129.99,25088.07
2024-01-01,East,HM Joggers,Apparel,176,39.99,7038.24
2024-01-01,East,Uniqlo Hoodie,Apparel,189,59.99,11338.11
2024-01-01,East,Gap Chinos,Apparel,149,79.99,11918.51
2024-01-01,West,Nike Air Max,Footwear,117,149.99,17548.83
2024-01-01,West,Adidas Ultraboost,Footwear,66,189.99,12539.34
2024-01-01,West,Puma RS-X,Footwear,124,109.99,13638.76
2024-01-01,West,Reebok Classic,Footwear,160,89.99,14398.4
2024-01-01,West,New Balance 990,Footwear,81,174.99,14174.19
2024-01-01,West,Levis 501,Apparel,11,69.99,769.89
2024-01-01,West,Zara Blazer,Apparel,50,129.99,6499.5
2024-01-01,West,HM Joggers,Apparel,188,39.99,7518.12
2024-01-01,West,Uniqlo Hoodie,Apparel,118,59.99,7078.82
2024-01-01,West,Gap Chinos,Apparel,97,79.99,7759.03
2024-01-01,Central,Nike Air Max,Footwear,81,149.99,12149.19
2024-01-01,Central,Adidas Ultraboost,Footwear,49,189.99,9309.51
2024-01-01,Central,Puma RS-X,Footwear,65,109.99,7149.35
2024-01-01,Central,Reebok Classic,Footwear,96,89.99,8639.04
2024-01-01,Central,New Balance 990,Footwear,36,174.99,6299.64
2024-01-01,Central,Levis 501,Apparel,33,69.99,2309.67
2024-01-01,Central,Zara Blazer,Apparel,107,129.99,13908.93
2024-01-01,Central,HM Joggers,Apparel,34,39.99,1359.66
2024-01-01,Central,Uniqlo Hoodie,Apparel,101,59.99,6058.99
